s_date,isin,rate
2022년 4월 6일, HLB사이언스 (343090),2:01
, 광주신세계 (037710),5:01
, 신세계I&C (035510),10:01
, 신세계인터내셔날 (031430),5:01
, 유비온 (084440),5:01
2022년 4월 5일, 메지온 (140410),3:01
, 티앤알바이오팹 (246710),2:01
2022년 4월 1일, 아세아시멘트 (183190),10:01
, 한미반도체 (042700),2:01
2022년 3월 31일, 랩지노믹스 (084650),3:01
, 지아이텍 (382480),5:01
2022년 3월 30일, 이상네트웍스 (080010),1.11:1
, 플랜티넷 (075130),2:01
2022년 3월 18일, 국제약품 (002720),1.05:1
2022년 3월 10일, 선진 뷰티 사이언스 (086710),2:01
2022년 3월 7일, 대원제약 (003220),1.03:1
2022년 2월 28일, TechL (064520),1:10
, 이즈미디어 (181340),2:01
, 파세코 (037070),1.429:1
2022년 2월 25일, 황금에스티 (032560),1.063:1
2022년 2월 24일, 엠브레인 (169330),2:01
2022년 2월 23일, 이루다 (164060),2:01
2022년 2월 11일, 세토피아 (222810),1:05
2022년 2월 7일, 에이프로 (262260),2:01
2022년 2월 3일, 대창단조 (015230),2:01
, 세원이앤씨 (091090),1:10
2022년 1월 28일, 에스맥 (097780),1:05
2022년 1월 17일, 엠로 (058970),2:01
, 이오플로우 (294090),2:01
2022년 1월 12일, 판타지오 (032800),1:10
2021년 12월 30일, 제넨바이오 (072520),1:05
2021년 12월 29일, DI동일 (001530),1.025:1
, JW Pharmaceutical (001067),1.03:1
, JW Pharmaceutical (001065),1.03:1
, JW신약 (067290),1.05:1
, JW중외제약 (001060),1.03:1
, JW홀딩스 (096760),1.03:1
, NHN (181710),2:01
, NHN한국사이버결제 (060250),1.12:1
, SK이노베이션 (096770),1.011:1
, 가온미디어 (078890),1.02:1
, 나노브릭 (286750),2.2:1
, 나스미디어 (089600),1.1:1
, 노바텍 (285490),1.05:1
, 동일기연 (032960),1.04:1
, 디지캡 (197140),1.05:1
, 디지털대성 (068930),1.02:1
, 리노스 (039980),1.05:1
, 메디톡스 (086900),1.05:1
, 미래에셋벤처투자 (100790),1.05:1
, 미래컴퍼니 (049950),1.03:1
, 비나텍 (126340),1.05:1
, 삼진 (032750),1.2:1
