s_date,isin,rate
2018년 5월 28일, 코세스 (089890),2:01
2018년 5월 25일, 아이오케이 (078860),1:05
2018년 5월 24일, 알비케이그룹 (215790),1:05
2018년 5월 21일, 글로벌텍스프리 (204620),1:05
, 아이엠 (101390),1.168:1
, 크루셜텍 (114120),1:02
2018년 5월 17일, 아난티 (025980),5:01
2018년 5월 16일, 대성미생물 (036480),10:01
, 상신이디피 (091580),1.027:1
, 코스모신소재 (005070),1:01
2018년 5월 15일, 경동제약 (011040),2:01
, 나노 (187790),1.122:1
, 크리스탈지노믹스 (083790),1.018:1
, 휴온스 (243070),1.2:1
2018년 5월 14일, 디젠스 (113810),1.113:1
, 부산주공 (005030),1.107:1
, 한국테크놀로지 (053590),1.07:1
2018년 5월 10일, 인트로메딕 (150840),2:01
2018년 5월 9일, 넥슨게임즈 (225570),1:05
, 성우하이텍 (015750),1.05:1
2018년 5월 4일, 삼성전자 (005930),50:01:00
, 삼성전자우 (005935),50:01:00
, 키스코홀딩스 (001940),5:01
, 한국철강 (104700),5:01
, 한국프랜지 (010100),5:01
2018년 5월 3일, 초록뱀이앤엠 (131100),1:10
, 휠라홀딩스 (081660),5:01
, 흥국 (010240),2:01
2018년 5월 2일, HL만도 (204320),5:01
, 경남스틸 (039240),5:01
, 까뮤이앤씨 (013700),10:01
, 삼성제약 (001360),1.092:1
, 알비케이그룹 (215790),1:05
, 와이어블 (065530),10:01
2018년 5월 1일, HDC (012630),1:2.4
2018년 4월 30일, 글로벌텍스프리 (204620),1:05
, 비플라이소프트 (148780),5:01
, 삼성전자 (005930),50:01:00
, 삼성전자우 (005935),50:01:00
, 아난티 (025980),5:01
, 크루셜텍 (114120),1:02
, 키스코홀딩스 (001940),5:01
, 한국철강 (104700),5:01
, 한국프랜지 (010100),5:01
2018년 4월 27일, Dx Vx (180400),3:01
, 아이오케이 (078860),1:05
2018년 4월 25일, 대성미생물 (036480),10:01
, 보령 (003850),5:01
, 코스메카코리아 (241710),2:01
, 한익스프레스 (014130),10:01
2018년 4월 23일, KX (122450),1.5:1
, 한국가구 (004590),2:01
, 효성오앤비 (097870),1.5:1
2018년 4월 20일, JW생명과학 (234080),2:01
, 경동제약 (011040),2:01
, 넥슨게임즈 (225570),1:05
2018년 4월 19일, 대한광통신 (010170),1.037:1
2018년 4월 17일, 엠에스씨 (009780),2:01
2018년 4월 13일, 경남스틸 (039240),5:01
2018년 4월 11일, 제일약품 (271980),1.4:1
2018년 4월 10일, 오성첨단소재 (052420),1.11:1
2018년 4월 9일, 동양고속 (084670),1.2:1
2018년 4월 6일, 초록뱀이앤엠 (131100),1:10
2018년 4월 2일, 아미코젠 (092040),2:01
2018년 3월 28일, 삼보판지 (023600),1.05:1
, 에쓰씨엔지니어링 (023960),2:01
2018년 3월 26일, YM (007530),1.255:1
, 텔레칩스 (054450),1.3:1
2018년 3월 20일, 아진산업 (013310),1.3:1
2018년 3월 19일, 갤럭시아머니트리 (094480),1.028:1
, 제노포커스 (187420),2:01
2018년 3월 16일, 모베이스 (101330),1.2:1
2018년 3월 15일, 에스디시스템 (121890),1.5:1
2018년 3월 9일, 씨엔플러스 (115530),5:01
2018년 3월 7일, 삼성중공업 (010140),1.133:1
, 삼성중공우 (010145),1.133:1
2018년 3월 6일, 나노 (187790),1:2.5
2018년 2월 27일, 오성첨단소재 (052420),1:07
2018년 2월 23일, 링크제니시스 (219420),5.092:1
, 에코마케팅 (230360),2:01
, 원익 (032940),1.095:1
2018년 2월 20일, 상상인증권 (001290),1:1.27
2018년 2월 19일, 대원제약 (003220),1.05:1
2018년 2월 17일, 대원제약 (003220),1.05:1
2018년 2월 14일, 씨엔플러스 (115530),5:01
2018년 2월 12일, 나노 (187790),2:01
2018년 2월 8일, 예스티 (122640),2.5:1
2018년 2월 7일, 서플러스글로벌 (140070),2:01
2018년 2월 6일, 우진비앤지 (018620),1.1:1
2018년 2월 5일, 에스티아이 (039440),1.071:1
, 오성첨단소재 (052420),1:07
, 종근당 (185750),1.05:1
2018년 2월 1일, 지티지웰니스 (219750),2.6:1
, 콤텍시스템 (031820),1.136:1
2018년 1월 31일, HD한국조선해양 (009540),1.047:1
, 동원금속 (018500),1.073:1
, 아진산업 (013310),1.187:1
, 큐엠씨 (136660),8:01
2018년 1월 30일, 골든센츄리 (900280),2:01
, 에스디시스템 (121890),1.162:1
2018년 1월 24일, 뉴지랩파마 (214870),2:01
2018년 1월 18일, 대한방직 (001070),5:01
2018년 1월 16일, 한일진공 (123840),1.142:1
2018년 1월 15일, 한일단조 (024740),1.207:1
2018년 1월 12일, KR모터스 (000040),1:1.5
2018년 1월 11일, 쿠쿠홀딩스 (192400),1:1.84
, 큐렉소 (060280),1.034:1
2018년 1월 9일, 에이엔피 (015260),1.192:1
2018년 1월 5일, SK디스커버리 (006120),1:2.07
, SK디스커버리우 (006125),1:2.07
2018년 1월 4일, 유니슨 (018000),1.046:1
2018년 1월 3일, 대한방직 (001070),5:01
, 명문제약 (017180),1.021:1
2017년 12월 27일, DI동일 (001530),1.025:1
, DRB동일 (004840),1.026:1
, ISC (095340),1.02:1
, JW Pharmaceutical (001067),1.02:1
, JW Pharmaceutical (001065),1.02:1
, JW중외제약 (001060),1.02:1
, JW홀딩스 (096760),1.02:1
, KH 필룩스 (033180),1.035:1
, NHN한국사이버결제 (060250),1.1:1
, SGA솔루션즈 (184230),1.05:1
, SK가스 (018670),1.01:1
, SNT에너지 (100840),1.03:1
, SNT홀딩스 (036530),1.03:1
, 고려제강 (002240),1.111:1
, 국제약품 (002720),1.04:1
, 금호전기 (001210),1.01:1
, 기가레인 (049080),1.03:1
, 다날 (064260),1.1:1
, 동양고속 (084670),1.05:1
, 동운아나텍 (094170),1.1:1
, 동일고무벨트 (163560),1.028:1
, 동일기연 (032960),1.05:1
, 리노스 (039980),1.05:1
, 미래컴퍼니 (049950),1.03:1
, 보령메디앙스 (014100),1.036:1
, 부광약품 (003000),1.1:1
, 비씨월드제약 (200780),1.1:1
, 서린바이오 (038070),1.062:1
, 서부T&D (006730),1.1:1
, 성우테크론 (045300),1.03:1
, 세코닉스 (053450),1.03:1
, 셀트리온 (068270),1.02:1
, 셀트리온제약 (068760),1.02:1
, 셀트리온헬스케어 (091990),1.02:1
, 시큐브 (131090),1.064:1
, 신화콘텍 (187270),1.02:1
, 아세아시멘트 (183190),1.017:1
, 에이리츠 (140910),1.013:1
, 엔케이맥스 (182400),2:01
, 엘오티베큠 (083310),1.05:1
, 와이솔 (122990),1.05:1
, 와이엔텍 (067900),1.02:1
, 와이엠티 (251370),2:01
, 와토스코리아 (079000),1.059:1
, 위즈코프 (038620),1.05:1
, 유한양행 (000100),1.05:1
, 유한양행우 (000105),1.05:1
, 이녹스첨단소재 (272290),1.03:1
, 이스트아시아홀딩스 (900110),1.1:1
, 인터로조 (119610),1.02:1
, 일동제약 (249420),1.1:1
, 제닉 (123330),1.01:1
, 케이엠 (083550),1.015:1
, 케이탑리츠 (145270),1.02:1
, 코맥스 (036690),1.02:1
, 코아시아옵틱스 (196450),2.5:1
, 코오롱생명과학 (102940),1.5:1
, 톱텍 (108230),1.02:1
, 파라텍 (033540),1.01:1
, 폴라리스우노 (114630),1.2:1
, 프럼파스트 (035200),1.1:1
, 한국자산신탁 (123890),1.1:1
, 한미사이언스 (008930),1.02:1
, 한미약품 (128940),1.02:1
, 휴메딕스 (200670),1.05:1
, 휴온스 (084110),1.05:1
, 휴온스 (243070),1.1:1
2017년 12월 22일, 우진비앤지 (018620),1.048:1
, 협진 (138360),3:01
2017년 12월 21일, KR모터스 (000040),1:1.57
2017년 12월 20일, RFHIC (218410),1:05
2017년 12월 19일, SBW생명과학 (151910),5:01
, 다이나믹디자인 (145210),2.4:1
, 베노홀딩스 (206400),1.25:1
, 삼화전자 (011230),1:2.42
2017년 12월 15일, STX (011810),1:10
, 골든센츄리 (900280),1.152:1
2017년 12월 14일, 삼보산업 (009620),1.5:1
2017년 12월 11일, 흥아해운 (003280),1.072:1
2017년 12월 8일, BGF (027410),1:1.54
, 코아시아옵틱스 (196450),2.5:1
2017년 12월 7일, 알테오젠 (196170),2:01
2017년 12월 6일, 범양건영 (002410),5:01
2017년 12월 5일, 삼화전자 (011230),1:03
, 제이준코스메틱 (025620),2:01
, 케이씨 (029460),1:2.46
2017년 12월 1일, SK디스커버리 (006120),1:2.07
, 쿠쿠홀딩스 (192400),1:1.84
2017년 11월 30일, RFHIC (218410),1:05
, SBW생명과학 (151910),5:01
, 인콘 (083640),4:01
2017년 11월 29일, DN오토모티브 (007340),1:2.37
, 디앤씨미디어 (263720),3:01
, 이연제약 (102460),1.3:1
2017년 11월 28일, 크루셜텍 (114120),1.134:1
2017년 11월 24일, 제이준코스메틱 (025620),1:05
2017년 11월 23일, STX (011810),1:10
2017년 11월 21일, 아우딘퓨쳐스 (227610),1.703:1
2017년 11월 20일, 서부T&D (006730),1.25:1
2017년 11월 17일, HD현대일렉트릭 (267260),2:01
2017년 11월 16일, 범양건영 (002410),5:01
2017년 11월 15일, 넥스트아이 (137940),5:01
, 어반리튬 (073570),1:05
2017년 11월 14일, HDC랩스 (039570),2:01
, 인크로스 (216050),2.5:1
, 현대건설기계 (267270),2:01
2017년 11월 13일, Panacea (058530),1.146:1
2017년 11월 9일, 지노믹트리 (228760),3:01
2017년 11월 8일, 메디프론 (065650),1.03:1
, 이엠코리아 (095190),1.118:1
, 한국큐빅 (021650),1.117:1
2017년 11월 7일, 베노홀딩스 (206400),1.048:1
, 우리종금 (010050),1.032:1
, 잉크테크 (049550),1.134:1
2017년 11월 3일, 인터플렉스 (051370),1.023:1
2017년 11월 2일, HMM (011200),1.121:1
, 페이퍼코리아 (001020),1.17:1
2017년 11월 1일, 케이씨 (029460),1:2.46
2017년 10월 31일, 아이원스 (114810),1.053:1
, 엠에스오토텍 (123040),1.238:1
, 주연테크 (044380),1.128:1
2017년 10월 30일, 동국실업 (001620),1.185:1
, 롯데쇼핑 (023530),1:1.12
, 롯데지주 (004990),1.76:1
, 롯데칠성 (005300),1:1.55
, 롯데칠성우 (005305),1:1.55
, 윈팩 (097800),1.322:1
2017년 10월 27일, 넥스트아이 (137940),5:01
, 싸이맥스 (160980),1.5:1
, 지엔씨에너지 (119850),2:01
2017년 10월 26일, 어반리튬 (073570),1:05
2017년 10월 25일, 삼보산업 (009620),1.352:1
, 하림 (136480),1.128:1
2017년 10월 23일, Cellfie Global (068940),2.5:1
2017년 10월 20일, 현대약품 (004310),1.028:1
2017년 10월 19일, 이수앱지스 (086890),1.052:1
2017년 10월 17일, 팬스타엔터프라이즈 (054300),1.125:1
2017년 10월 11일, 경동도시가스 (267290),1.5:1
, 서울식품 (004410),25:01:00
, 서울식품우 (004415),25:01:00
2017년 9월 28일, 기가레인 (049080),2:01
, 롯데지주 (004990),2.5:1
, 에이블씨엔씨 (078520),1.041:1
, 진원생명과학 (011000),1.088:1
, 홈센타홀딩스 (060560),2:01
2017년 9월 27일, HD현대일렉트릭 (267260),1.087:1
2017년 9월 26일, Cellfie Global (068940),2.5:1
, 선진 (136490),1.095:1
, 한화손해보험 (000370),1.022:1
2017년 9월 25일, 메타랩스 (090370),1:05
, 현대건설기계 (267270),1.096:1
2017년 9월 22일, 에이디칩스 (054630),1.247:1
2017년 9월 20일, ITX엠투엠 (099520),1.04:1
2017년 9월 19일, CNT85 (056730),1.106:1
2017년 9월 15일, 대창스틸 (140520),1.101:1
2017년 9월 14일, 미래아이앤지 (007120),1.211:1
, 지나인제약 (078650),1.063:1
2017년 9월 13일, 페이퍼코리아 (001020),1:10
2017년 9월 12일, 엔시트론 (101400),5:01
2017년 9월 11일, KD건설 (044180),1.087:1
, 에이비프로바이오 (195990),1:05
2017년 9월 8일, HLB글로벌 (003580),10:01
2017년 9월 7일, 카스 (016920),1.088:1
2017년 9월 6일, 서부T&D (006730),1.018:1
, 싸이맥스 (160980),1.056:1
, 엔피케이 (048830),1.09:1
, 원익큐브 (014190),1.071:1
2017년 9월 5일, 파라텍 (033540),1.5:1
2017년 9월 4일, 메타랩스 (090370),1:05
2017년 9월 1일, 대창스틸 (140520),1.08:1
2017년 8월 31일, 휴림네트웍스 (192410),4:01
2017년 8월 25일, 엔시트론 (101400),5:01
2017년 8월 24일, 상상인증권 (001290),1:1.27
2017년 8월 22일, 위니아딤채 (071460),1.5:1
2017년 8월 21일, 에이비프로바이오 (195990),1:05
2017년 8월 18일, HLB글로벌 (003580),10:01
2017년 8월 17일, 지나인제약 (078650),1.148:1
2017년 8월 16일, KD건설 (044180),1.042:1
2017년 8월 2일, 토박스코리아 (215480),2:01
2017년 7월 31일, 유아이엘 (049520),2:01
2017년 7월 28일, BGF에코머티리얼즈 (126600),2:01
2017년 7월 24일, 롯데에너지머티리얼즈 (020150),1.033:1
2017년 7월 19일, 대창스틸 (140520),1.06:1
2017년 7월 17일, 제일파마 (002620),1:3.42
2017년 7월 14일, 아이쓰리시스템 (214430),2:01
, 오이솔루션 (138080),1.2:1
2017년 7월 11일, THE E&M (089230),5:01
, 미래아이앤지 (007120),1.205:1
2017년 7월 10일, 이녹스 (088390),1:3.32
2017년 7월 7일, 빅솔론 (093190),2:01
, 오리온홀딩스 (001800),3.42:1
2017년 7월 6일, CNT85 (056730),2:01
2017년 6월 29일, 케이피엠테크 (042040),5:01
, 포시에스 (189690),1.05:1
2017년 6월 28일, 비츠로셀 (082920),1.2:1
, 세종텔레콤 (036630),1.184:1
2017년 6월 26일, 코스나인 (082660),1.205:1
2017년 6월 23일, THE E&M (089230),5:01
2017년 6월 22일, 라온테크 (232680),1.5:1
2017년 6월 21일, 모두투어 (080160),1.529:1
, 비에이치 (090460),2:01
, 아미코젠 (092040),1.011:1
2017년 6월 19일, 대창솔루션 (096350),1.191:1
2017년 6월 16일, 덕산네오룩스 (213420),2:01
2017년 6월 14일, 에스에프에이 (056190),2:01
2017년 6월 12일, 크루셜텍 (114120),1.5:1
2017년 6월 9일, Dx Vx (180400),2.5:1
2017년 6월 8일, 케이피엠테크 (042040),5:01
2017년 6월 5일, 매일유업 (005990),1:2.11
2017년 6월 1일, 오리온홀딩스 (001800),10:01
, 이녹스 (088390),1:3.32
2017년 5월 31일, 엔케이 (085310),1.166:1
, 오이솔루션 (138080),1.062:1
2017년 5월 30일, 에스맥 (097780),2:01
2017년 5월 29일, 와이오엠 (066430),1:03
2017년 5월 26일, 대양제지 (006580),10:01
2017년 5월 25일, 셀루메드 (049180),1:10
2017년 5월 24일, 클라우드에어 (036170),1:02
2017년 5월 23일, Hysonic (106080),2.5:1
, Nokwon Commercials Industries (065560),1:04
2017년 5월 22일, 덕신하우징 (090410),5:01
, 미원에스씨 (107590),2.65:1
, 시큐브 (131090),5:01
2017년 5월 18일, 대웅 (003090),5:01
, 일성건설 (013360),10:01
, 화승코퍼레이션 (013520),10:01
2017년 5월 16일, KBio Company (038530),1:10
2017년 5월 15일, 바이오니아 (064550),1.074:1
2017년 5월 12일, 경동가스 (012320),1:1.82
, 국동 (005320),2:01
, 신화콘텍 (187270),1.081:1
2017년 5월 11일, 넵튠 (217270),1:05
, 보락 (002760),5:01
, 신풍제지 (002870),10:01
, 한미반도체 (042700),2.5:1
2017년 5월 10일, HD한국조선해양 (009540),1:1.34
, 국보 (001140),1.206:1
, 커머스마이너 (223310),5:01
, 티비씨 (033830),10:01
2017년 5월 8일, 자연과환경 (043910),1.164:1
2017년 5월 2일, 클라우드에어 (036170),1:02
2017년 5월 1일, 매일유업 (005990),1:2.11
, 미원에스씨 (107590),1:3.77
2017년 4월 28일, 셀루메드 (049180),1:10
, 원익QnC (074600),2:01
2017년 4월 27일, KBio Company (038530),1:10
, Nokwon Commercials Industries (065560),1:04
, 와이오엠 (066430),1:03
2017년 4월 26일, Hysonic (106080),2.5:1
, 대양제지 (006580),10:01
, 대웅 (003090),5:01
, 덕신하우징 (090410),5:01
, 시큐브 (131090),5:01
, 일성건설 (013360),10:01
2017년 4월 25일, 에스맥 (097780),2.5:1
2017년 4월 24일, 넵튠 (217270),1:05
, 화승코퍼레이션 (013520),10:01
2017년 4월 21일, 보락 (002760),5:01
2017년 4월 20일, 티비씨 (033830),10:01
, 헥토이노베이션 (214180),2:01
2017년 4월 19일, 신풍제지 (002870),10:01
, 오르비텍 (046120),1.142:1
2017년 4월 18일, 폴라리스오피스 (041020),1.18:1
2017년 4월 17일, ES큐브 (050120),2:01
, 커머스마이너 (223310),5:01
2017년 4월 14일, 크루셜텍 (114120),1.096:1
2017년 4월 12일, 한미반도체 (042700),2.5:1
2017년 4월 11일, 크라운해태우 (005745),1:1.52
, 크라운해태홀딩스 (005740),1:1.52
2017년 4월 7일, APS홀딩스 (054620),1:2.15
, SK디앤디 (210980),1.5:1
2017년 4월 6일, 에스맥 (097780),2.5:1
2017년 4월 5일, 바디텍메드 (206640),1.1:1
2017년 3월 31일, 유비쿼스홀딩스 (078070),1:1.32
2017년 3월 30일, STX중공업 (071970),1:20
2017년 3월 28일, 감성코퍼레이션 (036620),1.092:1
, 휴림로봇 (090710),2.5:1
2017년 3월 22일, MIT (038340),1:05
2017년 3월 21일, 커머스마이너 (223310),2:01
2017년 3월 17일, 대원산업 (005710),1.1:1
, 유니테크노 (241690),2:01
2017년 3월 16일, 대호특수강 (021040),1.128:1
, 대호특수강우 (021045),1.128:1
, 로체시스템즈 (071280),1.5:1
2017년 3월 15일, Hysonic (106080),2:01
2017년 3월 13일, 엄지하우스 (224810),1.4:1
2017년 3월 7일, 진흥기업 (002780),1:02
, 휴림로봇 (090710),2.5:1
2017년 3월 2일, 루트로닉 (085370),2:01
, 루트로닉3우C (08537M),2:01
, 선진 (136490),2:01
, 티웨이홀딩스 (004870),4:01
2017년 3월 1일, 크라운해태홀딩스 (005740),1:1.52
2017년 2월 28일, 코스맥스엔비티 (222040),2:01
2017년 2월 27일, 아이티센 (124500),1.163:1
, 푸른기술 (094940),1.2:1
2017년 2월 24일, MIT (038340),1:05
, 모베이스 (101330),1.286:1
2017년 2월 23일, 아리온 (058220),2.5:1
2017년 2월 22일, GH신소재 (130500),1.155:1
2017년 2월 16일, 에스와이 (109610),1.5:1
2017년 2월 15일, 한미사이언스 (008930),1.07:1
, 한미약품 (128940),1.07:1
2017년 2월 14일, 케이에스피 (073010),1:03
2017년 2월 9일, 비엘헬스케어 (086220),1.062:1
2017년 2월 7일, STX중공업 (071970),1:10
, 대원제약 (003220),1.03:1
, 셀바스헬스케어 (208370),1:05
2017년 2월 3일, KG모빌리언스 (046440),1.091:1
, 에스엘바이오닉스 (214310),5:01
2017년 1월 31일, 로체시스템즈 (071280),1.071:1
, 삼보모터스 (053700),1.037:1
, 삼성증권 (016360),1.031:1
, 세동 (053060),1.156:1
2017년 1월 26일, 디에스케이 (109740),2:01
2017년 1월 24일, 대한항공 (003490),1.064:1
, 대한항공우 (003495),1.064:1
, 아리온 (058220),2.5:1
2017년 1월 19일, 서산 (079650),50:01:00
2017년 1월 18일, 큐로 (015590),1.069:1
2017년 1월 17일, AJ네트웍스 (095570),5:01
, STX중공업 (071970),1:02
2017년 1월 16일, 셀바스헬스케어 (208370),1:05
, 한화오션 (042660),1:10
2017년 1월 13일, CNT85 (056730),1:06
2017년 1월 12일, 에스엘바이오닉스 (214310),5:01
2017년 1월 11일, KBI메탈 (024840),1:05
, SBW생명과학 (151910),1:05
2017년 1월 5일, 보광산업 (225530),1.5:1
2017년 1월 4일, 서산 (079650),50:01:00
, 파버나인 (177830),2:01
2016년 12월 28일, AJ네트웍스 (095570),5:01
, DI동일 (001530),1.025:1
, DRB동일 (004840),1.027:1
, ISC (095340),1.05:1
, JW Pharmaceutical (001067),1.02:1
, JW Pharmaceutical (001065),1.02:1
, JW중외제약 (001060),1.02:1
, NHN한국사이버결제 (060250),1.07:1
, SK가스 (018670),1.01:1
, 국제약품 (002720),1.05:1
, 네오오토 (212560),1.5:1
, 다날 (064260),1.07:1
, 동양고속 (084670),1.04:1
, 동일고무벨트 (163560),1.03:1
, 동일기연 (032960),1.05:1
, 명문제약 (017180),1.036:1
, 보령 (003850),1.051:1
, 보령메디앙스 (014100),1.037:1
, 부광약품 (003000),1.2:1
, 비씨월드제약 (200780),1.1:1
, 서린바이오 (038070),1.05:1
, 성우테크론 (045300),1.05:1
, 셀트리온 (068270),1.05:1
, 셀트리온제약 (068760),1.05:1
, 에스와이 (109610),1.09:1
, 에스티오 (098660),1.01:1
, 에이블씨엔씨 (078520),1.1:1
, 엘오티베큠 (083310),1.05:1
, 와이솔 (122990),1.05:1
, 와토스코리아 (079000),1.079:1
, 우진비앤지 (018620),1.05:1
, 유한양행 (000100),1.05:1
, 유한양행우 (000105),1.05:1
, 이스트아시아홀딩스 (900110),1.1:1
, 일동제약 (249420),1.1:1
, 제닉 (123330),1.051:1
, 커넥트웨이브 (119860),2:01
, 케이엠 (083550),1.01:1
, 케이탑리츠 (145270),1.02:1
, 켐트로닉스 (089010),1.05:1
, 코맥스 (036690),1.02:1
, 크리스탈신소재 (900250),1.1:1
, 파라텍 (033540),1.007:1
, 파세코 (037070),1.061:1
, 프럼파스트 (035200),1.1:1
, 한국자산신탁 (123890),1.1:1
, 핸즈코퍼레이션 (143210),1.01:1
, 휴림로봇 (090710),2:01
, 휴메딕스 (200670),1.02:1
, 휴온스 (243070),1.05:1
, 휴온스 (084110),1.02:1
2016년 12월 23일, 나노 (187790),1.085:1
, 한화오션 (042660),1:10
2016년 12월 22일, CNT85 (056730),1:06
, KBI메탈 (024840),1:05
2016년 12월 21일, 덱스터 (206560),2:01
2016년 12월 20일, 유니셈 (036200),2:01
2016년 12월 16일, 국일제지 (078130),5:01
2016년 12월 14일, 대주전자재료 (078600),1.2:1
, 에이비프로바이오 (195990),3:01
2016년 12월 12일, 알에프텍 (061040),1.5:1
2016년 12월 7일, SBW생명과학 (151910),1:05
2016년 12월 5일, 영우디에스피 (143540),2:01
2016년 12월 1일, 국일제지 (078130),5:01
2016년 11월 29일, 솔고바이오 (043100),1.095:1
, 파인텍 (131760),1.035:1
2016년 11월 28일, 코디엠 (224060),3:01
2016년 11월 24일, 코디엠 (224060),5:01
2016년 11월 23일, BGF (027410),2:01
2016년 11월 21일, 노브메타파마 (229500),1.35:1
2016년 11월 18일, 토니모리 (214420),1.5:1
2016년 11월 17일, 바른손 (018700),1.032:1
2016년 11월 15일, 한국정보인증 (053300),1.052:1
2016년 11월 11일, 에이디테크놀로지 (200710),2:01
, 인탑스 (049070),2:01
2016년 11월 10일, 흥아해운 (003280),1.043:1
2016년 11월 9일, 코스맥스 (192820),1.026:1
, 풍국주정 (023900),1.5:1
2016년 11월 8일, 에이루트 (096690),1.122:1
2016년 11월 7일, 상상인인더스트리 (101000),2:01
, 소니드 (060230),1.203:1
, 에이비프로바이오 (195990),5:01
2016년 11월 4일, 대성파인텍 (104040),5:01
, 동부건설 (005960),1:1.29
, 동부건설우 (005965),1:1.29
2016년 11월 3일, 넥스턴 (089140),1.452:1
, 코디엠 (224060),5:01
2016년 11월 1일, 메타랩스 (090370),1.114:1
2016년 10월 31일, 아이엠 (101390),1.024:1
, 에코프로 (086520),1.023:1
2016년 10월 28일, 경방 (000050),10:01
, 대주전자재료 (078600),1.043:1
, 루트로닉 (085370),1.017:1
, 루트로닉3우C (08537M),1.01:1
, 쏠리드 (050890),1.122:1
2016년 10월 27일, 네이블 (153460),1.071:1
2016년 10월 26일, 아리온 (058220),2:01
, 한일사료 (005860),1.049:1
2016년 10월 25일, 유니트론텍 (142210),3:01
2016년 10월 20일, 대성파인텍 (104040),5:01
, 에이비프로바이오 (195990),5:01
, 인터플렉스 (051370),1.062:1
2016년 10월 19일, HLB글로벌 (003580),1:05
2016년 10월 11일, 경방 (000050),10:01
2016년 10월 7일, 와이엔텍 (067900),1.044:1
2016년 10월 4일, KSS해운 (044450),2:01
2016년 9월 30일, 삼성중공업 (010140),1.152:1
, 삼성중공우 (010145),1.152:1
, 지나인제약 (078650),1.066:1
2016년 9월 29일, HLB글로벌 (003580),1:05
, 보광산업 (225530),2:01
2016년 9월 28일, 동부건설 (005960),1:2.09
, 동부건설우 (005965),1:1.29
2016년 9월 26일, CMG제약 (058820),1.059:1
, 동방 (004140),1.134:1
2016년 9월 23일, 코스나인 (082660),1.153:1
, 한솔PNS (010420),1:1.35
2016년 9월 22일, 베셀 (177350),2:01
, 페이퍼코리아 (001020),1.082:1
2016년 9월 20일, 넥스턴 (089140),1.07:1
2016년 9월 19일, 한국특강 (007280),1:2.07
2016년 9월 13일, 에스엠벡셀 (010580),1.151:1
2016년 9월 12일, 아이에이 (038880),1.028:1
, 에스엘바이오닉스 (214310),1.5:1
2016년 9월 9일, 다원시스 (068240),1.5:1
2016년 9월 7일, 마니커 (027740),1.104:1
, 텔콘RF제약 (200230),5:01
2016년 9월 6일, 애경케미칼 (161000),10:01
2016년 9월 5일, 헬릭스미스 (084990),1.025:1
2016년 9월 1일, 백금T&A (046310),1.071:1
2016년 8월 31일, 이루온 (065440),1.097:1
, 일동홀딩스 (000230),1:3.47
2016년 8월 26일, 에이루트 (096690),5:01
2016년 8월 22일, 롯데관광개발 (032350),1.5:1
2016년 8월 16일, 애경케미칼 (161000),10:01
2016년 8월 12일, 텔콘RF제약 (200230),5:01
2016년 8월 11일, 이엠넷 (123570),2:01
2016년 8월 10일, 고려포리머 (009810),1.215:1
, 에이루트 (096690),5:01
2016년 8월 9일, 샘표 (007540),1:2.06
2016년 8월 8일, 아이티센 (124500),2:01
, 한화투자증권 (003530),1.159:1
, 한화투자증권우 (003535),1.159:1
2016년 8월 3일, 대림제지 (017650),5:01
, 제이엔케이히터 (126880),1.3:1
2016년 7월 29일, 하이드로리튬 (101670),2.5:1
2016년 7월 27일, 에스와이 (109610),2:01
2016년 7월 19일, 대림제지 (017650),5:01
2016년 7월 18일, 삼성제약 (001360),1.086:1
2016년 7월 13일, 하이드로리튬 (101670),2.5:1
2016년 7월 12일, VT GMP (018290),1.608:1
2016년 7월 11일, 텔콘RF제약 (200230),2:01
2016년 7월 4일, 보성파워텍 (006910),1.07:1
, 제룡산업 (147830),1.261:1
2016년 6월 29일, 비츠로셀 (082920),1.1:1
, 삼목에스폼 (018310),1.103:1
, 씨케이에이치 (900120),1.05:1
, 우수AMS (066590),1.113:1
, 포시에스 (189690),1.05:1
2016년 6월 27일, 에스에이엠티 (031330),1.046:1
2016년 6월 22일, 제이엔케이히터 (126880),1.117:1
, 한솔제지 (213500),1.037:1
2016년 6월 21일, 미래산업 (025560),1.049:1
2016년 6월 17일, 뉴인텍 (012340),1.07:1
, 케이씨피드 (025880),1.093:1
2016년 6월 16일, 다날 (064260),1.5:1
2016년 6월 15일, 랩지노믹스 (084650),2:01
2016년 6월 14일, 에이루트 (096690),2:01
2016년 6월 13일, 에코바이오 (038870),1.037:1
2016년 6월 10일, 톱텍 (108230),2:01
2016년 6월 3일, 상보 (027580),1.053:1
, 휴온스 (084110),1:2.07
2016년 6월 2일, KEC (092220),1.14:1
2016년 6월 1일, 명문제약 (017180),1.064:1
2016년 5월 25일, KG스틸 (016380),1:04
, 쌍용C&E (003410),1.011:1
, 아이오케이 (078860),5:01
2016년 5월 23일, 와이제이엠게임즈 (193250),5:01
, 제이준코스메틱 (025620),1:03
, 젬백스링크 (064800),5:01
2016년 5월 20일, 넥센 (005720),10:01
, 넥센우 (005725),10:01
, 상상인 (038540),1:02
2016년 5월 18일, DB (012030),10:01
, 광림 (014200),2:01
, 엠에스씨 (009780),10:01
2016년 5월 17일, 롯데지주 (004990),10:01
, 크라운해태우 (005745),10:01
, 크라운해태홀딩스 (005740),10:01
2016년 5월 16일, 극동유화 (014530),10:01
, 위메이드플레이 (123420),1:3.33
2016년 5월 13일, 삼부토건 (001470),1:10
, 성보화학 (003080),10:01
